manufacturer_name,payment_count,total_payment_amount,avg_payment_amount
"Janssen Biotech, Inc.",328,39515.05,120.47
Boston Scientific Corporation,250,29705.1,118.82
"Lilly USA, LLC",246,29408.2,119.55
"E.R. Squibb & Sons, L.L.C.",179,23754.53,132.71
ABIOMED,70,13318.67,190.27
"Shockwave Medical, Inc",48,11804.12,245.92
"Biosense Webster, Inc.",43,6631.56,154.22
"Medical Device Business Services, Inc.",14,6103.33,435.95
"Optinose US, Inc.",16,5226.54,326.66
"Sumitomo Pharma America, Inc.",103,4915.33,47.72
