primary_specialty,payment_count,total_payment_amount
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,57,21044.16
Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,94,15121.9
Allopathic & Osteopathic Physicians|Dermatology,87,14981.48
Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,60,12030.93
Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,35,8983.32
Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,64,8750.72
Allopathic & Osteopathic Physicians|Neurological Surgery,9,8115.41
Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,171,8115.16
"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",27,6968.32
Allopathic & Osteopathic Physicians|Internal Medicine,75,6015.55
